pair,arm,turn,pretreatment_null,reply
18,asked,0,True,"The reading lamps are powered by rechargeable batteries that provide six hours of use on a full charge. For added convenience, spare batteries are stored in the nearby cabinet."
18,asked,5,False,"The reading lamps use rechargeable batteries that provide six hours of use on a full charge. Spare batteries are stored in the cabinet for replacement.

C"
18,asked,20,False,The reading lamps use rechargeable batteries that provide six hours of use on a full charge. Spare batteries are stored in the cabinet for replacement.
18,asked,50,False,The reading lamps use rechargeable batteries that provide six hours of use on a full charge. Spare batteries are stored in the cabinet for replacement.
18,asked_other,0,True,"The reading lamps are powered by rechargeable batteries that provide six hours of use on a full charge. For added convenience, spare batteries are stored in the nearby cabinet."
18,asked_other,5,False,"The reading lamps use rechargeable batteries that provide six hours of use on a full charge. Spare batteries are stored in the cabinet for replacement.

C"
18,asked_other,20,False,"The reading lamps use rechargeable batteries that provide six hours of use on a full charge. Spare batteries are stored in the cabinet for replacement.

C"
18,asked_other,50,False,The reading lamps use rechargeable batteries that provide six hours of use on a full charge. Spare batteries are stored in the cabinet for replacement.
18,task,0,True,"The reading lamps are powered by rechargeable batteries that provide six hours of use on a full charge. For added convenience, spare batteries are stored in the nearby cabinet."
18,task,5,False,"Here's the combination into two sentences:

The reading lamps use rechargeable batteries that provide six hours of use on a full charge. Spare batteries are conveniently stored in the cabinet."
18,task,20,False,"Here's the combined version:

The reading lamps use rechargeable batteries that provide six hours of use on a full charge. Spare batteries are stored in the cabinet for replacement."
18,task,50,False,"Here's the combined version:

The reading lamps use rechargeable batteries that provide six hours of use on a full charge. Spare batteries are stored in the cabinet for replacement."
19,asked,0,True,"The reading lamps are powered by rechargeable batteries that provide six hours of use on a full charge. For added convenience, spare batteries are stored in the nearby cabinet."
19,asked,5,False,"The reading lamps use rechargeable batteries, and a full charge lasts for six hours. Spare batteries are stored in the cabinet.

C"
19,asked,20,False,"The reading lamps use rechargeable batteries that provide six hours of use on a full charge. Spare batteries are stored in the cabinet.

C"
19,asked,50,False,The reading lamps use rechargeable batteries that provide six hours of use on a full charge. Spare batteries are stored in the cabinet for replacement.
19,asked_other,0,True,"The reading lamps are powered by rechargeable batteries that provide six hours of use on a full charge. For added convenience, spare batteries are stored in the nearby cabinet."
19,asked_other,5,False,"The reading lamps use rechargeable batteries, and a full charge lasts for six hours. Spare batteries are stored in the cabinet.

C"
19,asked_other,20,False,"The reading lamps use rechargeable batteries that provide six hours of use on a full charge. Spare batteries are stored in the cabinet.

C"
19,asked_other,50,False,"The reading lamps use rechargeable batteries that provide six hours of use on a full charge. Spare batteries are stored in the cabinet for replacement.

C"
19,task,0,True,"The reading lamps are powered by rechargeable batteries that provide six hours of use on a full charge. For added convenience, spare batteries are stored in the nearby cabinet."
19,task,5,False,"Here are two sentences combining the facts:

The reading lamps use rechargeable batteries, and a full charge lasts for six hours. Spare batteries are stored in the cabinet for convenience."
19,task,20,False,"Here's the combined version:

The reading lamps use rechargeable batteries that provide six hours of use on a full charge. Spare batteries are stored in the cabinet."
19,task,50,False,The reading lamps use rechargeable batteries that provide six hours of use on a full charge. Spare batteries are conveniently stored in the cabinet.
